name,tree_length,mean_root_to_tip_distance,mean_pairwise_distance
crimean_congo.Nucleoprotein,8.38596587912,0.326676767879,0.543375450856
dengue_ns3,8.32944022906,1.00274699849,0.833795037719
H1N1_HA,2.71593095061,0.0384551364497,0.0466512720502
H1N1_NP,2.24783988721,0.0842024058925,0.0433126603471
HCV_NS5B,54.5389297681,0.651517582633,0.858088498429
JEV,1.62474601127,0.123097017626,0.123409602958
marburg.vp35,0.415868675645,0.10252019004,0.103280301038
riftvalley,0.388316549971,0.0260753945983,0.0250959619186
westnile_chainb,3.00284117147,0.112902845972,0.172776369661
132L_A,47.7140384781,1.15382471036,1.72146372909
13PK_A,61.5724033393,1.10578752709,1.32351313424
1A26_A,185.133324491,5.18264434876,4.51387065815
1A2T_A,124.514698149,1.63007905235,2.47932847421
1A4L_A,72.3032865616,1.6003578787,2.43507694654
1A65_A,78.1770494612,1.77577227985,2.3116606066
1A8H_A,99.6266773649,1.87159594077,2.29091618898
1A8S_A,57.3109790484,1.36544604463,1.34347959688
1AF7_A,108.667300948,3.00951409679,2.63554593869
1AGM_A,118.35664546,4.51229974067,4.6994509281
1AGY_A,105.998221858,3.69118373806,3.10227265695
1AH7_A,60.1526594262,5.25976317029,4.14238106437
1AJ0_A,75.54335925,1.71699380613,1.70131661963
1AK0_A,141.897274235,5.47946445997,3.64931019298
1AKO_A,67.0758775344,3.09070840225,3.05065487255
1AMY_A,74.5910395963,3.39826154479,3.50674164899
1AQ2_A,65.4911877494,1.59112484055,1.81243981701
1AQL_A,88.2043635596,1.87299753672,2.77129140222
1AST_A,74.8515758886,1.23251798979,1.83800960961
1B04_A,78.9964199047,1.78486992435,1.81645164356
1B2R_A,59.0386084369,4.60388497078,3.54968617412
1BF2_A,111.224672414,4.326856887,2.33161863602
1BG0_A,69.1577594523,1.61629166963,2.11772256649
1BH2_A,72.934652386,2.44207063172,2.54298117674
1BOL_A,69.9338500519,2.10147195927,2.46579996451
1BP2_A,44.8355168026,2.07439079447,2.0099081876
1BQC_A,92.3602492388,2.66433063007,3.38961126088
1BS4_A,64.8594975005,2.16902637363,1.50457786754
1BS9_A,78.8963526865,3.2766664954,2.54405966959
